iter	Passed	Remaining
0	159	159659
1	161	80651
2	163	54205
3	164	40976
4	168	33525
5	170	28259
6	172	24431
7	174	21608
8	175	19358
9	177	17583
10	179	16103
11	180	14891
12	182	13869
13	184	12985
14	186	12255
15	188	11579
16	190	10999
17	191	10457
18	193	9976
19	194	9547
20	196	9154
21	197	8795
22	199	8477
23	201	8190
24	202	7914
25	204	7656
26	205	7416
27	207	7194
28	208	6993
29	210	6802
30	212	6627
31	213	6466
32	215	6316
33	217	6168
34	218	6025
35	219	5890
36	221	5763
37	223	5645
38	224	5531
39	226	5424
40	227	5330
41	229	5236
42	231	5144
43	232	5055
44	234	4969
45	235	4883
46	236	4801
47	238	4723
48	239	4651
49	241	4584
50	242	4517
51	244	4449
52	245	4385
53	246	4324
54	248	4263
55	249	4204
56	250	4147
57	252	4093
58	254	4063
59	257	4026
60	258	3981
61	260	3934
62	261	3889
63	262	3845
64	264	3805
65	265	3764
66	267	3723
67	268	3682
68	270	3647
69	271	3612
70	273	3576
71	274	3544
72	276	3508
73	277	3473
74	278	3439
75	280	3408
76	281	3376
77	282	3344
78	284	3314
79	285	3288
80	287	3261
81	288	3234
82	289	3201
83	291	3176
84	292	3150
85	294	3125
86	295	3099
87	296	3074
88	297	3050
89	299	3030
90	301	3009
91	302	2986
92	303	2963
93	305	2941
94	306	2919
95	307	2899
96	309	2877
97	310	2856
98	311	2836
99	313	2821
100	315	2805
101	316	2786
102	317	2767
103	318	2748
104	320	2729
105	321	2713
106	323	2696
107	324	2678
108	325	2661
109	326	2644
110	328	2629
111	330	2616
112	331	2601
113	332	2586
114	334	2571
115	335	2556
116	336	2540
117	337	2525
118	339	2511
119	340	2498
120	342	2486
121	343	2472
122	345	2460
123	346	2448
124	348	2438
125	350	2427
126	351	2414
127	352	2401
128	353	2389
129	355	2377
130	357	2368
131	358	2360
132	360	2349
133	361	2338
134	363	2330
135	365	2320
136	366	2310
137	368	2300
138	369	2291
139	371	2284
140	373	2276
141	374	2263
